% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),Listo? (no considerar),Pendiente (no considerar),
90%,4. Salud,95%,Contar con especialidades en los centros de salud,"Contar con especialidades médicas en los centros de salud que contemple atención ambulatoria en otorrinología, dermatología, traumatología, kinesiología, entre otros. ",60%,"En los centros de salud primaria se cuenta con las especialidades de traumatología, kinesiología, odontología, entre otros. Durante 2023 se realizaron:
- Más de 17.500 atenciones de odontología
- Más de 14.300 atenciones de matrona
- Más de 13.400 sesiones de kinesiología para rehabilitación
- Más de 10.400 antenciones de oftalmología
- Más de 700 atenciones de pediatría
- 117 atenciones de otorrinolaringología
- 55 consultas ginecológicas","Habilitación, contratación de personal y puesta en marcha.",10%,0%,60%,,4.37,4,Si,,
90%,4. Salud,95%,Alianzas con facultades de ciencias médicas,"Generar alianzas con facultades de ciencias médicas de centros de estudios superiores, para campos clínicos, entrega de atención primaria y plan de desarrollo comunitario de Salud.",100%,"Se cuenta con convenios con facultades de ciencias médicas a través de los cuales:
- Se desarrollan campus clínicos, brindando atención a vecinos/as en los centros de salud comunal
- Se realizan proyectos de inversión, como la habilitación de box dentales y la construcción durante 2024 del Centro Comunitario de Salud Familiar (CECOSF) Yalta, que contara con 505 m2. ",Definición de objetivos para alianza estratégica con facultades médicas,20%,20%,20%,1,4.38,4,Si,,
90%,4. Salud,95%,Alianzas con facultades de ciencias médicas,"Generar alianzas con facultades de ciencias médicas de centros de estudios superiores, para campos clínicos, entrega de atención primaria y plan de desarrollo comunitario de Salud.",100%,"Se cuenta con convenios con facultades de ciencias médicas a través de los cuales:
- Se desarrollan campus clínicos, brindando atención a vecinos/as en los centros de salud comunal
- Se realizan proyectos de inversión, como la habilitación de box dentales y la construcción durante 2024 del Centro Comunitario de Salud Familiar (CECOSF) Yalta, que contara con 505 m2. ",Definición de criterios para concretar alianzas estratégicas con facultades médicas,20%,20%,40%,,4.39,4,Si,,
90%,4. Salud,95%,Alianzas con facultades de ciencias médicas,"Generar alianzas con facultades de ciencias médicas de centros de estudios superiores, para campos clínicos, entrega de atención primaria y plan de desarrollo comunitario de Salud.",100%,"Se cuenta con convenios con facultades de ciencias médicas a través de los cuales:
- Se desarrollan campus clínicos, brindando atención a vecinos/as en los centros de salud comunal
- Se realizan proyectos de inversión, como la habilitación de box dentales y la construcción durante 2024 del Centro Comunitario de Salud Familiar (CECOSF) Yalta, que contara con 505 m2. ","Elaboración de convenios para firma de facultades médicas, en campos clínicos, entrega de atención primaria y desarrollo de infraestructura para proyectos de salud",20%,20%,60%,,4.40,4,Si,,
90%,4. Salud,95%,Alianzas con facultades de ciencias médicas,"Generar alianzas con facultades de ciencias médicas de centros de estudios superiores, para campos clínicos, entrega de atención primaria y plan de desarrollo comunitario de Salud.",100%,"Se cuenta con convenios con facultades de ciencias médicas a través de los cuales:
- Se desarrollan campus clínicos, brindando atención a vecinos/as en los centros de salud comunal
- Se realizan proyectos de inversión, como la habilitación de box dentales y la construcción durante 2024 del Centro Comunitario de Salud Familiar (CECOSF) Yalta, que contara con 505 m2. ",Ejecución de los convenios,30%,30%,90%,,4.41,4,Si,,
90%,4. Salud,95%,Alianzas con facultades de ciencias médicas,"Generar alianzas con facultades de ciencias médicas de centros de estudios superiores, para campos clínicos, entrega de atención primaria y plan de desarrollo comunitario de Salud.",100%,"Se cuenta con convenios con facultades de ciencias médicas a través de los cuales:
- Se desarrollan campus clínicos, brindando atención a vecinos/as en los centros de salud comunal
- Se realizan proyectos de inversión, como la habilitación de box dentales y la construcción durante 2024 del Centro Comunitario de Salud Familiar (CECOSF) Yalta, que contara con 505 m2. ",Evaluación de los convenios,10%,10%,100%,,4.42,4,Si,,
90%,4. Salud,95%,Crear Óptica popular,"Crear una Óptica Popular, mejorando el acceso a anteojos e insumos y ampliando la oferta de salud a precios justos.",100%,"En noviembre de 2023 se inauguró la óptica popular, con una inversión de $200 millones. A la fecha se han atendido más de 250 vecinos/as.",Planificación y definición del modelo de negocios de la futura óptica popular,20%,20%,20%,1,4.43,4,Si,,
90%,4. Salud,95%,Crear Óptica popular,"Crear una Óptica Popular, mejorando el acceso a anteojos e insumos y ampliando la oferta de salud a precios justos.",100%,"En noviembre de 2023 se inauguró la óptica popular, con una inversión de $200 millones. A la fecha se han atendido más de 250 vecinos/as.",Definición del espacio donde implementar la óptica popular,10%,10%,30%,,4.44,4,Si,,
90%,4. Salud,95%,Crear Óptica popular,"Crear una Óptica Popular, mejorando el acceso a anteojos e insumos y ampliando la oferta de salud a precios justos.",100%,"En noviembre de 2023 se inauguró la óptica popular, con una inversión de $200 millones. A la fecha se han atendido más de 250 vecinos/as.",Elaboración de bases de licitación,30%,30%,60%,,4.45,4,Si,,
90%,4. Salud,95%,Crear Óptica popular,"Crear una Óptica Popular, mejorando el acceso a anteojos e insumos y ampliando la oferta de salud a precios justos.",100%,"En noviembre de 2023 se inauguró la óptica popular, con una inversión de $200 millones. A la fecha se han atendido más de 250 vecinos/as.",Adjudicación de licitación,10%,10%,70%,,4.46,4,Si,,
90%,4. Salud,95%,Crear Óptica popular,"Crear una Óptica Popular, mejorando el acceso a anteojos e insumos y ampliando la oferta de salud a precios justos.",100%,"En noviembre de 2023 se inauguró la óptica popular, con una inversión de $200 millones. A la fecha se han atendido más de 250 vecinos/as.",Firma del contrato con proveedor adjudicado,10%,10%,80%,,4.47,4,Si,,
90%,4. Salud,95%,Crear Óptica popular,"Crear una Óptica Popular, mejorando el acceso a anteojos e insumos y ampliando la oferta de salud a precios justos.",100%,"En noviembre de 2023 se inauguró la óptica popular, con una inversión de $200 millones. A la fecha se han atendido más de 250 vecinos/as.",Puesta en marcha de la Óptica Popular,20%,20%,100%,,4.48,4,Si,,
90%,4. Salud,95%,Atención domiciliaria a pacientes con dependencia severa,"Brindar hospitalización domiciliaria a los pacientes con dependencia severa de la comuna, mejorando su acceso a la atención de salud.",100%,"Se brinda hospitalización domiciliaria a pacientes de la comuna con dependencia severa, mediante un equipo multidisciplinario, compuesto por médicos, kinesiólogos, enfermeras y técnicos en enfermería de nivel superior. Durante 2023 se realizaron 1.056 atenciones de hospitalización domiciliaria a 252 pacientes.",Conformación del equipo de hospitalización domiciliaria,20%,20%,20%,1,4.49,4,Si,,
90%,4. Salud,95%,Atención domiciliaria a pacientes con dependencia severa,"Brindar hospitalización domiciliaria a los pacientes con dependencia severa de la comuna, mejorando su acceso a la atención de salud.",100%,"Se brinda hospitalización domiciliaria a pacientes de la comuna con dependencia severa, mediante un equipo multidisciplinario, compuesto por médicos, kinesiólogos, enfermeras y técnicos en enfermería de nivel superior. Durante 2023 se realizaron 1.056 atenciones de hospitalización domiciliaria a 252 pacientes.",Registro y acceso de los pacientes con dependencia severa a nivel comunal al programa de hospitalización domiciliaria,20%,20%,40%,,4.50,4,Si,,
90%,4. Salud,95%,Atención domiciliaria a pacientes con dependencia severa,"Brindar hospitalización domiciliaria a los pacientes con dependencia severa de la comuna, mejorando su acceso a la atención de salud.",100%,"Se brinda hospitalización domiciliaria a pacientes de la comuna con dependencia severa, mediante un equipo multidisciplinario, compuesto por médicos, kinesiólogos, enfermeras y técnicos en enfermería de nivel superior. Durante 2023 se realizaron 1.056 atenciones de hospitalización domiciliaria a 252 pacientes.",Ejecución de las hospitalizaciones domicliarias a los pacientes dependientes severos,50%,50%,90%,,4.51,4,Si,,
90%,4. Salud,95%,Atención domiciliaria a pacientes con dependencia severa,"Brindar hospitalización domiciliaria a los pacientes con dependencia severa de la comuna, mejorando su acceso a la atención de salud.",100%,"Se brinda hospitalización domiciliaria a pacientes de la comuna con dependencia severa, mediante un equipo multidisciplinario, compuesto por médicos, kinesiólogos, enfermeras y técnicos en enfermería de nivel superior. Durante 2023 se realizaron 1.056 atenciones de hospitalización domiciliaria a 252 pacientes.",Evaluación de la estrategia de hospitalización domiciliaria,10%,10%,100%,,4.52,4,Si,,
90%,5. Inclusión y Discapacidad,76%,Apoyar a personas con movilidad reducida a través de colaboración público-privada.,"Brindar apoyo a personas con movilidad reducida, a través de gestiones municipales y alianzas con el sector privado, mejorando el acceso a insumos y exámenes médicos. ",90%,"Durante 2023, se entregaron 185 ayudas técnicas a personas con movilidad reducida y/o discapacidad; tales como silla de ruedas, colchón anti escaras, bastón canadiense, barra recta, baño portátil, andador fijo, andador móvil, órtesis, implementos para prótesis, entre otros. Además, en 2022 se creó la unidad de ayudas sociales en la Corporación de Desarrollo Social, donde se realizan alianzas con el sector privado para aumentar el apoyo a la comunidad, como la Fundación Deportistas por un Sueño. ","Creación de la ""Unidad de ayudas sociales"", que se hará cargo de buscar alianzas público-privadas para apoyar a personas con movilidad reducida",20%,20%,20%,1,5.1,5,Si,,
90%,5. Inclusión y Discapacidad,76%,Apoyar a personas con movilidad reducida a través de colaboración público-privada.,"Brindar apoyo a personas con movilidad reducida, a través de gestiones municipales y alianzas con el sector privado, mejorando el acceso a insumos y exámenes médicos. ",90%,"Durante 2023, se entregaron 185 ayudas técnicas a personas con movilidad reducida y/o discapacidad; tales como silla de ruedas, colchón anti escaras, bastón canadiense, barra recta, baño portátil, andador fijo, andador móvil, órtesis, implementos para prótesis, entre otros. Además, en 2022 se creó la unidad de ayudas sociales en la Corporación de Desarrollo Social, donde se realizan alianzas con el sector privado para aumentar el apoyo a la comunidad, como la Fundación Deportistas por un Sueño. ",Asignación de presupuesto para las atenciones requeridas,10%,10%,30%,,5.2,5,Si,,
90%,5. Inclusión y Discapacidad,76%,Apoyar a personas con movilidad reducida a través de colaboración público-privada.,"Brindar apoyo a personas con movilidad reducida, a través de gestiones municipales y alianzas con el sector privado, mejorando el acceso a insumos y exámenes médicos. ",90%,"Durante 2023, se entregaron 185 ayudas técnicas a personas con movilidad reducida y/o discapacidad; tales como silla de ruedas, colchón anti escaras, bastón canadiense, barra recta, baño portátil, andador fijo, andador móvil, órtesis, implementos para prótesis, entre otros. Además, en 2022 se creó la unidad de ayudas sociales en la Corporación de Desarrollo Social, donde se realizan alianzas con el sector privado para aumentar el apoyo a la comunidad, como la Fundación Deportistas por un Sueño. ",Definición de criterios para atención de personas con movilidad reducida,10%,10%,40%,,5.3,5,Si,,
90%,5. Inclusión y Discapacidad,76%,Apoyar a personas con movilidad reducida a través de colaboración público-privada.,"Brindar apoyo a personas con movilidad reducida, a través de gestiones municipales y alianzas con el sector privado, mejorando el acceso a insumos y exámenes médicos. ",90%,"Durante 2023, se entregaron 185 ayudas técnicas a personas con movilidad reducida y/o discapacidad; tales como silla de ruedas, colchón anti escaras, bastón canadiense, barra recta, baño portátil, andador fijo, andador móvil, órtesis, implementos para prótesis, entre otros. Además, en 2022 se creó la unidad de ayudas sociales en la Corporación de Desarrollo Social, donde se realizan alianzas con el sector privado para aumentar el apoyo a la comunidad, como la Fundación Deportistas por un Sueño. ",Búsqueda de empresas y organizaciones privadas con las que gestionar alianzas,10%,10%,50%,,5.4,5,Si,,
90%,5. Inclusión y Discapacidad,76%,Apoyar a personas con movilidad reducida a través de colaboración público-privada.,"Brindar apoyo a personas con movilidad reducida, a través de gestiones municipales y alianzas con el sector privado, mejorando el acceso a insumos y exámenes médicos. ",90%,"Durante 2023, se entregaron 185 ayudas técnicas a personas con movilidad reducida y/o discapacidad; tales como silla de ruedas, colchón anti escaras, bastón canadiense, barra recta, baño portátil, andador fijo, andador móvil, órtesis, implementos para prótesis, entre otros. Además, en 2022 se creó la unidad de ayudas sociales en la Corporación de Desarrollo Social, donde se realizan alianzas con el sector privado para aumentar el apoyo a la comunidad, como la Fundación Deportistas por un Sueño. ",Recepción de solicitudes de vecinos/as con movilidad reducida y evaluación socioeconómica y/o de salud,15%,15%,65%,,5.5,5,Si,,
90%,5. Inclusión y Discapacidad,76%,Apoyar a personas con movilidad reducida a través de colaboración público-privada.,"Brindar apoyo a personas con movilidad reducida, a través de gestiones municipales y alianzas con el sector privado, mejorando el acceso a insumos y exámenes médicos. ",90%,"Durante 2023, se entregaron 185 ayudas técnicas a personas con movilidad reducida y/o discapacidad; tales como silla de ruedas, colchón anti escaras, bastón canadiense, barra recta, baño portátil, andador fijo, andador móvil, órtesis, implementos para prótesis, entre otros. Además, en 2022 se creó la unidad de ayudas sociales en la Corporación de Desarrollo Social, donde se realizan alianzas con el sector privado para aumentar el apoyo a la comunidad, como la Fundación Deportistas por un Sueño. ",Entrega de ayudas a personas con movilidad reducida y/o discapacidad (insumos y/o exámenes),25%,20%,85%,,5.6,5,Si,,
90%,5. Inclusión y Discapacidad,76%,Apoyar a personas con movilidad reducida a través de colaboración público-privada.,"Brindar apoyo a personas con movilidad reducida, a través de gestiones municipales y alianzas con el sector privado, mejorando el acceso a insumos y exámenes médicos. ",90%,"Durante 2023, se entregaron 185 ayudas técnicas a personas con movilidad reducida y/o discapacidad; tales como silla de ruedas, colchón anti escaras, bastón canadiense, barra recta, baño portátil, andador fijo, andador móvil, órtesis, implementos para prótesis, entre otros. Además, en 2022 se creó la unidad de ayudas sociales en la Corporación de Desarrollo Social, donde se realizan alianzas con el sector privado para aumentar el apoyo a la comunidad, como la Fundación Deportistas por un Sueño. ",Evaluación de las ayudas entregadas,10%,5%,90%,,5.7,5,Si,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Catastro de las plazas de la comuna y de su equipamiento y accesibilidad,5%,5%,5%,1,5.8,5,revisar resultado,secplan,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Visitas a terreno y determinación de plazas que no cuentan con juegos inclusivos o accesibilidad universal,5%,5%,10%,,5.9,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.","Propuesta de intervenciones en plazas comunales (Bien Nacional de Uso Público), incluyendo accesibilidad universal y/o juegos inclusivos",5%,5%,15%,,5.10,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Validación de proyectos con Juntas de Vecinos,10%,8%,23%,,5.11,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.","Desarrollo de anteproyectos, planimetrías, especificaciones técnicas y presupuestos.",10%,8%,31%,,5.12,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Postulación a financiamiento externo (Subsecretaría de Desarrollo Regional),10%,8%,39%,,5.13,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Adjudicación del financiamiento externo,5%,4%,43%,,5.14,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Licitación de los proyectos,10%,8%,51%,,5.15,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Ejecución de proyectos financiados con aporte municipal,10%,8%,59%,,5.16,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Ejecución de proyectos financiados con fondos externos,20%,5%,64%,,5.17,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Implementación de plazas con accesos y juegos recreativos inclusivos ,"Equipar y mejorar plazas de la comuna para que cuenten con accesibilidad universal y/o estén equipadas con juegos recreativos inclusivos, permitiendo contar con espacios públicos más inclusivos.",69%,"Se han ejecutado los siguientes proyectos para el mejoramiento de plazas:
Accesibilidad universal: Plaza Portesuelo, Cariola, Pintor Durero, Capitan Prat, Varas Mena con Yal, Curarregue
Instalación de juegos infantiles inclusivos: Plaza Madeco Mademsa.",Promoción y difusión de actividades recreativas inclusivas al interior de las plazas,10%,5%,69%,,5.18,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ","Catastro anual de Infraestructura Comunal (cultural, deportiva, comunitaria y espacios públicos).",20%,20%,20%,1,5.19,5,revisar resultado,secplan,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ",Definir prioridades de orden de intervención y mejoramiento con un plan de implementación de infraestructura inclusiva.,10%,10%,30%,,5.20,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ",Elaboración de proyectos para postular a financiamiento externo.,10%,7%,37%,,5.21,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ",Postulación de financiamiento externo para proyectos inclusivos,10%,7%,44%,,5.22,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ",Elaboración de proyectos de infraestructura comunal inclusiva con financiamiento municipal (subvenciones o aportes). Debe requerir el uso inclusivo de las instalaciones y servicios,15%,10%,54%,,5.23,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ",Ejecución del prioridades de infraestructura inclusiva,15%,8%,62%,,5.24,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ",Plan de mantenimiento de paradas de transporte público con accesibilidad universal,10%,5%,67%,,5.25,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ",Encuesta ciudadana de inclusión,5%,2%,69%,,5.26,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Infraestructura comunal inclusiva,"Construir y mejorar la infraestructura comunal para que sea inclusiva, como plazas, sedes municipales, recintos de salud, deportivos, paradas de transporte público, entre otros.",70%,"Se está constuyendo y mejorando infraestructura comunal para que sean accesibles, como plazas con accesibilidad universal y juegos inclusivos, centro para niños/as con TEA, paradas de transporte publico, sedes vecinales, recintos deportivos y próximos proyectos a ejecutarse. ","Promover que medios de atención y comunicación (web, atención usuaria, etc) sean inclusivos",5%,1%,70%,,5.27,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.","Diagnóstico comunitario con las familias de niños, niñas y adolescentes con Trastorno del Espectro Autista y con organizaciones comunitarias",10%,10%,10%,1,5.28,5,revisar resultado,secplan,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.",Elaboración de anteproyecto y levantamiento participativo de requerimientos respecto a la infraestructura y habilitación adecuada para el Centro de especialidades,10%,10%,20%,,5.29,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.",Búsqueda de terreno donde emplazar el Centro de especialidades y tramitación del permiso de edificación,15%,15%,35%,,5.30,5,revisar resultado,,
90%,5. Inclusión y Discapacidad,76%,Centro para niños/as con TEA y sus familias ,"Construir y habilitar un centro para niños, niñas y adolescentes con Trastorno del Espectro Autista y sus familias, que permita brindar cuidado y apoyo en su formación mediante programas integrales e inclusivos, mejorarando su calidad de vida e integración social.",75%,"Se elaboró el proyecto, se consiguió el terreno y el financiamiento externo para la construcción del centro de especialidades para niños, niñas y adolescentes con Trastorno del Espectro Autista. A la fecha iniciaron las obras, se pondrá en marcha durante el 2024.",Búsqueda y aprobación de financiamiento externo para la ejecución del proyecto,15%,15%,50%,,5.31,5,revisar resultado,,
